"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"111" "Madroñera" "CC102" "Madroñera" "054544000W" "392753000N" 586 262362 4372010 30 "2006-02-13T00:00:00" "2022-02-15T00:00:00"
"112" "Guadalupe" "CC103" "Guadalupe" "052053000W" "392313000N" 740 297766 4362370 30 "2007-03-01T00:00:00" NA
"113" "Alcantara" "CC104" "Alcántara" "065353000W" "394447000N" 333 165984 4406900 29 "2007-11-28T00:00:00" NA
"114" "Mirabel" "CC105" "Mirabel" "061237000W" "395112000N" 538 225349 4416430 29 "2010-07-13T00:00:00" NA
"115" "Aliseda" "CC106" "Aliseda" "063801000W" "391629000N" 325 186520 4353590 29 "2011-04-01T00:00:00" NA
"116" "Rebollar" "CC107" "Rebollar" "055351550W" "400855300N" 499 253176 4448287 30 "2021-04-12T00:00:00" NA
"117" "Tiétar" "CC108" "Talayuela" "053258920W" "400225190N" 266 282477 4435352 30 "2023-06-07T00:00:00" NA
"118" "Valdeíñigos II" "CC109" "Tejeda de Tiétar" "055149560W" "395825620N" 262 255434 4428775 30 "2023-06-21T00:00:00" NA
"119" "Jarandilla de la Vera" "CC11" "Jarandilla de la Vera" "053846000W" "400605000N" 493 274430 4442370 30 "1999-09-01T00:00:00" NA
"120" "Gargantilla" "CC12" "Gargantilla" "055629000W" "401420000N" 591 249780 4458440 30 "1999-09-01T00:00:00" NA
"121" "Talayuela" "CC13" "Talayuela" "053351000W" "400040000N" 273 281141 4432150 30 "1999-10-06T00:00:00" NA
"122" "Coria-Puebla de Argeme" "CC14" "Coria" "062719670W" "395751370N" 238 204857 4429511 29 "2001-06-11T00:00:00" NA
"123" "Valdastillas" "CC15" "Valdastillas" "055231000W" "400836000N" 475 255051 4447650 30 "2002-05-14T00:00:00" "2006-10-15T00:00:00"
"124" "Moraleja" "CC16" "Moraleja" "064116000W" "400359000N" 270 185457 4441660 29 "2006-10-19T00:00:00" NA
"125" "Valdastillas" "CC17" "Valdastillas" "055233000W" "400827740N" 586 255607.89 4447376.76 30 "2006-10-19T00:00:00" NA
"126" "Valdesalor" "CC18" "Cáceres" "061944000W" "392204000N" 375 213209 4362880 29 "2010-01-27T00:00:00" NA
"127" "Zarza de Granadilla" "CC19" "Zarza de Granadilla" "060159000W" "401229000N" 376 241859 4455280 29 "2011-06-02T00:00:00" NA
"128" "Belmez" "CO01" "Belmez" "051234000W" "381515000N" 503 306667 4236350 30 "1999-12-02T00:00:00" NA
"129" "Adamuz" "CO02" "Adamuz" "042643000W" "375951000N" 145 373099 4206530 30 "1999-12-02T00:00:00" "2023-12-05T00:00:00"
"130" "Palma del Río" "CO03" "Palma del Río" "051337000W" "374332000N" 134 303720 4177720 30 "2000-10-02T00:00:00" "2007-03-14T00:00:00"
"131" "Hornachuelos" "CO04" "Hornachuelos" "050936000W" "374311000N" 130 309617 4176930 30 "2000-10-03T00:00:00" NA
"132" "El Carpio" "CO05" "Carpio, El" "043014000W" "375450000N" 171 367791 4197330 30 "2000-10-03T00:00:00" NA
"133" "Córdoba" "CO06" "Córdoba" "044810000W" "375125000N" 94 341399 4191480 30 "2000-10-16T00:00:00" NA
