"Estacion" "Codigo" "Termino" "Longitud" "Latitud" "Altitud" "XUTM" "YUTM" "Huso" "Fecha_Instalacion" "Fecha_Baja"
"594" "Épila" "Z05" "Épila" "011655000W" "413459000N" 327 643204 4604930 30 "2003-09-18T00:00:00" NA
"595" "Ejea de los Caballeros" "Z06" "Ejea de los Caballeros" "011146000W" "420551000N" 316 649166 4662200 30 "2003-09-23T00:00:00" NA
"596" "Sádaba" "Z07" "Sádaba" "011833000W" "421602000N" 432 639427 4680840 30 "2003-09-23T00:00:00" NA
"597" "Luna" "Z08" "Luna" "005609000W" "420544000N" 406 670687 4662470 30 "2003-09-24T00:00:00" NA
"598" "Santa Engracia" "Z09" "Tauste" "011949000W" "415516000N" 253 638436 4642380 30 "2003-09-25T00:00:00" "2006-12-01T00:00:00"
"599" "Pastriz" "Z10" "Pastriz" "004446000W" "413542000N" 192 687842 4607280 30 "2003-09-30T00:00:00" "2009-10-06T00:00:00"
"600" "Montañana" "Z11" "Zaragoza" "004925000W" "414248000N" 215 681037 4620270 30 "2003-10-01T00:00:00" NA
"601" "Torres de Berrellén" "Z12" "Torres de Berrellén" "010407000W" "414621000N" 209 660516 4626320 30 "2003-10-02T00:00:00" "2004-10-21T00:00:00"
"602" "Calatayud" "Z13" "Calatayud" "013930000W" "411955000N" 524 612267 4576500 30 "2003-11-17T00:00:00" "2008-10-23T00:00:00"
"603" "Borja" "Z14" "Borja" "013027000W" "415118000N" 376 623871 4634770 30 "2003-11-20T00:00:00" NA
"604" "Tarazona" "Z15" "Tarazona" "014445000W" "415458000N" 521 604000 4641230 30 "2003-11-25T00:00:00" NA
"605" "Caspe" "Z16" "Caspe" "000415000W" "411814000N" 173 745204 4576640 30 "2004-01-15T00:00:00" NA
"606" "Osera de Ebro" "Z17" "Osera de Ebro" "003210000W" "413242000N" 248 705486 4602200 30 "2005-06-08T00:00:00" NA
"607" "Daroca" "Z18" "Daroca" "012528000W" "410629000N" 747 632270 4551950 30 "2005-06-09T00:00:00" NA
"608" "Zuera" "Z19" "Zuera" "004504000W" "415209000N" 302 686631 4637720 30 "2005-06-09T00:00:00" "2006-11-29T00:00:00"
"609" "El Bayo" "Z20" "Ejea de los Caballeros" "011455000W" "421032000N" 383 644635 4670770 30 "2005-06-09T00:00:00" NA
"610" "Tauste" "Z21" "Tauste" "010834000W" "420000000N" 360 653808 4651470 30 "2005-06-09T00:00:00" NA
"611" "Boquiñeni" "Z22" "Boquiñeni" "011458000W" "415035000N" 226 645315 4633850 30 "2005-09-27T00:00:00" NA
"612" "Pastriz" "Z23" "Pastriz" "004349000W" "413539000N" 179 689157 4607210 30 "2010-03-09T00:00:00" NA
"613" "Calatayud" "Z24" "Calatayud" "013652000W" "412146000N" 523 615873 4579970 30 "2010-04-28T00:00:00" NA
"614" "Santa Engracia (Tauste)" "Z25" "Tauste" "011835000W" "415420000N" 242 640172 4640690 30 "2010-08-25T00:00:00" NA
"615" "Zuera" "Z26" "Zuera" "004558000W" "415318000N" 288 685330 4639810 30 "2010-08-26T00:00:00" NA
"616" "Torres de Berrellén" "Z27" "Torres de Berrellén" "010351000W" "414538000N" 203 660909 4625030 30 "2010-08-25T00:00:00" "2015-02-12T00:00:00"
"617" "Cariñena" "Z28" "Cariñena" "011350540W" "412411830N" 591 647892 4585037 30 "2019-09-25T00:00:00" "2020-12-18T00:00:00"
"618" "Colinas de Trasmonte" "ZA01" "Quiruelas de Vidriales" "054838000W" "420002000N" 707 267219 4653680 30 "1999-12-13T00:00:00" NA
"619" "Villaralbo" "ZA02" "Villaralbo" "053842000W" "412855000N" 657 279160 4595660 30 "1999-12-14T00:00:00" NA
"620" "Toro" "ZA03" "Toro" "053059000W" "413008000N" 627 289965 4597590 30 "1999-12-14T00:00:00" "2001-03-06T00:00:00"
"621" "Villalpando" "ZA04" "Villalpando" "052326000W" "415240000N" 687 301623 4638980 30 "2000-07-06T00:00:00" NA
"622" "Pozuelo de Tábara" "ZA05" "Pozuelo de Tábara" "055343000W" "414654000N" 701 259386 4629610 30 "2000-07-05T00:00:00" NA
"623" "Barcial del Barco" "ZA06" "Barcial del Barco" "054001000W" "415600000N" 699 278887 4645820 30 "2001-02-21T00:00:00" NA
"624" "Toro" "ZA07" "Toro" "053058000W" "413009000N" 627 289986 4597610 30 "2001-12-27T00:00:00" "2007-06-27T00:00:00"
"625" "Toro" "ZA08" "Toro" "052157000W" "413029000N" 649 302537 4597880 30 "2007-06-28T00:00:00" NA
